SECURITY NAME,% OF PORTFOLIO,Fund_Id
Canpack SA/Canpack US LLC,0.22,F-101
Cascade Funding Mortgage Trust,0.52,F-101
Cascade Funding Mortgage Trust,0.57,F-101
Cascade Funding Mortgage Trust,0.53,F-101
Cascade Funding Mortgage Trust,0.36,F-101
Cascade Funding Mortgage Trust,0.34,F-101
Cascade Funding Mortgage Trust,0.27,F-101
Cascade Funding Mortgage Trust,0.25,F-101
Cascade Funding Mortgage Trust,0.1,F-101
Cascade Funding Mortgage Trust,0.36,F-101
Cascade Funding Mortgage Trust,0.46,F-101
Cascade Funding Mortgage Trust,0.04,F-101
Cascade Funding Mortgage Trust,0.49,F-101
Cascade MH Asset Trust,0.13,F-101
Cash,7.6,F-101
Celanese U.S. Holdings LLC,0.49,F-101
Charter Communications Operating LLC/Charter Communications Oper,0.22,F-101
Chase Funding Loan Acquisition Trust,0.07,F-101
Chase Mortgage Finance Trust,0,F-101
ChaseFlex Trust,0.01,F-101
Citigroup Commercial Mortgage Trust,0.08,F-101
Citigroup Mortgage Loan Trust,0.01,F-101
Citigroup Mortgage Loan Trust,0.05,F-101
Citigroup Mortgage Loan Trust,0.11,F-101
"Clear Channel Outdoor Holdings, Inc.",0.13,F-101
Colombian TES Series B,0.62,F-101
Commercial Mortgage Trust,0.03,F-101
Commercial Mortgage Trust,0.18,F-101
Commercial Mortgage Trust,0.02,F-101
Commercial Mortgage Trust IO,0,F-101
Commonwealth Bank of Australia,0.31,F-101
Conn's Receivables Funding LLC,0.2,F-101
Conn's Receivables Funding LLC,0.33,F-101
Conn's Receivables Funding LLC,0.4,F-101
Credit Agricole Assurances SA,0.42,F-101
Credit Agricole SA,0.26,F-101
Credit Suisse Group AG,0.25,F-101
Credit Suisse Group AG,0.22,F-101
Credit Suisse Group AG,0.17,F-101
Credit Suisse Mortgage Trust,0.07,F-101
Credit Suisse Mortgage Trust Class A,0.31,F-101
Credit Suisse Mortgage Trust Class A,0.46,F-101
Credit Suisse Mortgage Trust Class A,0.39,F-101
Credit Suisse Mortgage Trust Class A,0.35,F-101
Cuenca DPR Term Loan (Cayman Islands),0.64,F-101
Danske Bank AS,0.72,F-101
Diamond Resorts Owner Trust,0.06,F-101
"Dick's Sporting Goods, Inc.",0.48,F-101
Dominican Republic International Bond,0.2,F-101
Dominican Republic International Bond,0.32,F-101
Dominican Republic International Bond,0.58,F-101
Dssv Sarl,0.04,F-101
ECAF I Ltd.,0.15,F-101
EDP - Energias de Portugal SA,0.23,F-101
EMF-NL Prime,0.03,F-101
EURO-BOBL FUTURE DEC23 XEUR 20231207,-0.01,F-101
EURO-BTP FUTURE DEC23 XEUR 20231207,0,F-101
EURO-BUND FUTURE DEC23 XEUR 20231207,0,F-101
Eldorado Gold Corp.,0.3,F-101
Energy Transfer LP,0.2,F-101
Eurohome Mortgages PLC,0.08,F-101
F-Brasile SpA/F-Brasile U.S. LLC Series XR,0.16,F-101
FMC GMSR Issuer Trust,0.47,F-101
FMC GMSR Issuer Trust,0.16,F-101
FMC GMSR Issuer Trust,0.23,F-101
FMC GMSR Issuer Trust Class A,0.43,F-101
FREMF 2016-KF21 Mortgage Trust,0.02,F-101
Federal Home Loan Mortgage Corp. Multifamily Structured Pass-Thr,0.22,F-101
Federal Home Loan Mortgage Corp. Multifamily Structured Pass-Thr,0.36,F-101
Federal Home Loan Mortgage Corp. Multifamily Structured Pass-Thr,0.13,F-101
Federal Home Loan Mortgage Corporation Gold Pool:,0,F-101
Federal National Mortgage Association Conventional Pools:,0,F-101
Federal National Mortgage Association Conventional Pools:,0,F-101
Federal National Mortgage Association Conventional Pools:,0,F-101
Federal National Mortgage Association Conventional Pools:,0,F-101
Federal National Mortgage Association Conventional Pools:,0,F-101
Federal National Mortgage Association Conventional Pools:,0,F-101
Federal National Mortgage Association IO REMIC,0,F-101
Federal National Mortgage Association IO REMIC,0,F-101
Federal National Mortgage Association IO REMIC,0,F-101
Federal National Mortgage Association October TBA,0.71,F-101
Federal National Mortgage Association October TBA,3.3,F-101
Federal National Mortgage Association October TBA,0.42,F-101
Ferrellgas LP/Ferrellgas Finance Corp.,0.28,F-101
"Fidelity National Information Services, Inc.",0.2,F-101
Finance of America HECM Buyout,0.54,F-101
Finance of America HECM Buyout,0.25,F-101
Finance of America HECM Buyout,0.14,F-101
Fly Leasing Ltd.,0.32,F-101
GAIA Aviation Ltd.,0.18,F-101
GNMA II POOL CV7933 G2 08/53 FIXED 6,0.28,F-101
GNMA II POOL CW3710 G2 08/53 FIXED 6,0.21,F-101
GS Mortgage Securities Corportation Trust IO,0.01,F-101
GSAA Home Equity Trust,0.02,F-101
GSAA Home Equity Trust,0.01,F-101
GSR Mortgage Loan Trust,0.03,F-101
GSR Mortgage Loan Trust,0.09,F-101
GSR Mortgage Loan Trust,0,F-101
GSR Mortgage Loan Trust,0.01,F-101
Garda World Security Corp.,0.15,F-101
Garda World Security Corp.,0.21,F-101
Global Atlantic Fin Co.,0.11,F-101
Global Partners LP/GLP Finance Corp.,0.26,F-101
Global Partners LP/GLP Finance Corp.,0.08,F-101
"Goldman Sachs Group, Inc.",0.17,F-101
Government National Mortgage Association IO,0.01,F-101
Government National Mortgage Association Various Pools:,0,F-101
Government National Mortgage Association Various Pools:,0,F-101
Government National Mortgage Association Various Pools:,0,F-101
Great Hall Mortgages No. 1 PLC,0.21,F-101
Grifols SA,0.05,F-101
Grifols SA,0.2,F-101
Grupo Aval Ltd.,0.07,F-101
HARVEST COMMERCIAL CAPITAL LOA HCCLT 2020 1 M5 144A,0.28,F-101
HELLENIC REPUBLIC SR UNSECURED 144A REGS 07/38 4,0.24,F-101
HSBC Holdings PLC,0.33,F-101
HarborView Mortgage Loan Trust,0.02,F-101
Headlands Residential 2021-RPL1 LLC,0.5,F-101
Hellenic Republic Government Bond,0.56,F-101
Hestia Financing,0.17,F-101
Howard Hughes Corp.,0.14,F-101
Hungary Government Bond,0.29,F-101
Hungary Government Bond,0.36,F-101
Hyundai Capital America,0.27,F-101
IAMGOLD Corp.,0.2,F-101
IM Pastor 4 FTA,0.08,F-101
ING Groep NV,0.25,F-101
Iberdrola Finanzas SA,0.27,F-101
Iberdrola International BV Series NC6,0.2,F-101
Impac CMB Trust,0,F-101
Imperial Fund Mortgage Trust Class A1,0.4,F-101
Indonesia Treasury Bond,0.02,F-101
Indonesia Treasury Bond,0.23,F-101
Indonesia Treasury Bond,0.49,F-101
Intesa Sanpaolo SpA,0.14,F-101
Ivory Coast Government International Bond,0.28,F-101
JBS USA/FOOD/FINANCE Co. GUAR 01/27 2.5,0.26,F-101
JOL Air Ltd.,0.03,F-101
JP Morgan Alternative Loan Trust,0.01,F-101
JP Morgan Chase Commercial Mortgage Securities Trust IO,0,F-101
JPMBB Commercial Mortgage Securities Trust,0.01,F-101
JPMBB Commercial Mortgage Securities Trust,0.05,F-101
JPMBB Commercial Mortgage Securities Trust IO,0,F-101
JPMorgan Chase & Co.,0.07,F-101
"Jane Street Group/JSG Finance, Inc.",0.23,F-101
Jefferies Finance LLC/JFIN Co.-Issuer Corp.,0.18,F-101
KGS-Alpha SBA COOF Trust IO,0.01,F-101
KGS-Alpha SBA COOF Trust IO,0,F-101
KKR CLO 16 Ltd.,0.06,F-101
"Kronos Acquisition Holdings, Inc./KIK Custom Products, Inc.",0.17,F-101
LABL Inc.,0.1,F-101
"LABL, Inc.",0.14,F-101
LHOME MORTGAGE TRUST LHOME 2023 RTL3 A1 144A,0.29,F-101
LONG GILT FUTURE DEC23 IFLL 20231227,-0.01,F-101
La Hipotecaria Panamanian Mortgage Trust,0.38,F-101
Lansdowne Mortgage Securities No. 2 PLC,0.1,F-101
Lehman Mortgage Trust,0.01,F-101
Lehman Mortgage Trust,0.01,F-101
Liberty Latin America Ltd. (Convertible),0.12,F-101
Lloyds Banking Group PLC,0.12,F-101
Lloyds Banking Group PLC,0.48,F-101
LoanMe Trust,0.17,F-101
Lorca Telecom Bondco SA,0.25,F-101
Ludgate Funding PLC,0.11,F-101
Ludgate Funding PLC,0.06,F-101
Luminis Finance PLC,0.2,F-101
MACQUARIE BANK LIMITED,0.5,F-101
MASTR Alternative Loan Trust,0.08,F-101
MASTR Asset Securitization Trust,0,F-101
METAL LLC,0.08,F-101
MFA 2021-NPL1 LLC,0.34,F-101
MFT Mortgage Trust,0.14,F-101
MKT 2020-525M Mortgage Trust,0.05,F-101
Macy's Retail Holdings LLC,0.24,F-101
Mansard Mortgages PLC,0.05,F-101
Mansard Mortgages PLC,0.06,F-101
Mansard Mortgages PLC,0.12,F-101
Matador Resources Co.,0.25,F-101
McAfee Corp.,0.14,F-101
Med Trust 2021-MDLN,0.12,F-101
"Minerva Merger Sub, Inc.",0.13,F-101
Mortgage Funding PLC,0.31,F-101
MortgageIT Trust,0.01,F-101
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,0.24,F-101
NGG Finance PLC,0.13,F-101
NN Group NV,0.31,F-101
NOVA Chemicals Corp.,0.29,F-101
NRZ Excess Spread-Collateralized Notes,0.11,F-101
NRZ Excess Spread-Collateralized Notes Class A,0.22,F-101
NYMT Loan Trust,0.58,F-101
Natixis Commercial Mortgage Securities Trust,0.15,F-101
Net Other Assets,-2.71,F-101
New Residential Mortgage LLC,0.35,F-101
New Zealand Government Bond,0.56,F-101
New Zealand Government Bond Series 0530,1.03,F-101
Newcastle Coal Infrastructure Group Pty Ltd.,0.2,F-101
Newcastle Coal Infrastructure Group Pty Ltd.,0.25,F-101
Newday Funding PLC,0.32,F-101
"Newell Brands, Inc.",0.2,F-101
Newgate Funding PLC,0.09,F-101
Newtek Small Business Loan Trust,0.04,F-101
Newtek Small Business Loan Trust,0.11,F-101
Nigeria Government International Bond,0.22,F-101
Nomura Asset Acceptance Corp. Alternative Loan Trust,0.07,F-101
Nomura Asset Acceptance Corp. Alternative Loan Trust,0.01,F-101
OCWEN LOAN INVESTMENT TRUST OLIT 2023 HB1 M1 144A,0.34,F-101
"ONEOK, Inc.",0.19,F-101
"Oakwood Mortgage Investors, Inc.",0.05,F-101
Occidental Petroleum Corp.,0.29,F-101
Orange SA,0.64,F-101
PAGAYA AI TECHNOLOGY IN HOUSIN PATH 2023 1 E2 144A,0.35,F-101
PETROBRAS GLOBAL FINANCE Co. GUAR 07/33 6.5,0.38,F-101
PETROLEOS MEXICANOS,0.23,F-101
PETROLEOS MEXICANOS,0.14,F-101
PETROLEOS MEXICANOS,0.12,F-101
PMC PLS ESR Issuer LLC,0.25,F-101
PMT FMSR Issuer Trust,0.38,F-101
PNMAC GMSR Issuer Trust,0.44,F-101
PNMAC GMSR Issuer Trust,0.39,F-101
PRET LLC Class A1,0.35,F-101
"Peloton Interactive, Inc.",0.2,F-101
Peru Government Bond,0.41,F-101
Peru Government Bond,0.93,F-101
Premier Entertainment Sub LLC/Premier Entertainment Finance Corp,0.1,F-101
Progress Residential 2020-SFR1 Trust,0.3,F-101
Progress Residential 2020-SFR1 Trust,0.37,F-101
Prologis Euro Finance LLC,0.15,F-101
Prosus NV,0.16,F-101
RALI Trust,0.01,F-101
RALI Trust,0,F-101
READYCAP LENDING RCLT 2023 3 A,0.38,F-101
REPUBLICA ORIENT URUGUAY SR UNSECURED 07/33 9.75,0.49,F-101
RETAINED VANTAGE DATA CENTERS VDCR 2023 1A A2A 144A,0.36,F-101
RFMSI Series Trust,0.02,F-101
RMAC Securities No. 1 PLC,0.07,F-101
RMF Buyout Issuance Trust,0.14,F-101
RMF Buyout Issuance Trust,0.33,F-101
RMF Buyout Issuance Trust,0.72,F-101
RMF Buyout Issuance Trust,0.38,F-101
RMF Proprietary Issuance Trust,0.25,F-101
Rain CII Carbon LLC/CII Carbon Corp.,0,F-101
Raptor Aircraft Finance I LLC,0.34,F-101
ReadyCap Lending Small Business Loan Trust,0.03,F-101
Renault SA,0.33,F-101
Reperforming Loan REMIC Trust,0.01,F-101
Reperforming Loan REMIC Trust,0.02,F-101
Repsol International Finance BV,0.25,F-101
"Resorts World Las Vegas LLC/RWLV Capital, Inc.",0.15,F-101
"Rocket Mortgage LLC/Rocket Mortgage Co-Issuer, Inc.",0.21,F-101
Romanian Government International Bond,0.49,F-101
SG Commercial Mortgage Securities Trust,0.29,F-101
SKANDIN ENS BANKEN AG,0.5,F-101
SMIC4DV41 IRS NZD P V 03MNZDBB II4822440230619 CCPVANILLA,-0.6,F-101
SMIC4DV41 IRS NZD R F 4.42000 II7846590230619 CCPVANILLA,0.56,F-101
STARM Mortgage Loan Trust,0.01,F-101
SVENSKA HANDLSBNKN A,0.49,F-101
Sabine Pass Liquefaction LLC,0.19,F-101
Santos Finance Ltd.,0.25,F-101
Seasoned Credit Risk Transfer Trust,0.28,F-101
Seasoned Credit Risk Transfer Trust,0.37,F-101
Seasoned Credit Risk Transfer Trust,0.13,F-101
Seasoned Credit Risk Transfer Trust,0.11,F-101
Sequoia Mortgage Trust,0.02,F-101
Shenton Aircraft Investment I Ltd.,0.23,F-101
"Sirius XM Radio, Inc.",0.15,F-101
Sotheby's,0.18,F-101
Southern Co.,0.22,F-101
Sprint Spectrum Co. LLC/Sprint Spectrum Co. II LLC/Sprint Spectr,0.16,F-101
Standard Chartered PLC,0.17,F-101
"Standard Industries, Inc.",0.25,F-101
Stanwich Mortgage Loan Co. LLC,0.77,F-101
Start II Ltd.,0.11,F-101
Start Ltd.,0.16,F-101
Structured Adjustable Rate Mortgage Loan Trust,0.04,F-101
Structured Adjustable Rate Mortgage Loan Trust,0.04,F-101
Structured Asset Mortgage Investments II Trust,0.04,F-101
Structured Asset Securities Corp. IO,0,F-101
Sutherland Commercial Mortgage Trust,0.12,F-101
Sydney Airport Finance Co. Pty Ltd.,0.35,F-101
Synchrony Bank,0.17,F-101
TDA 27 FTA,0.25,F-101
TICP VI Ltd.,0.12,F-101
TPro Acquisition Corp.,0.18,F-101
TREASURY BILL 11/23 0.00000,0.65,F-101
TRUIST FINANCIAL Corp. SR UNSECURED 06/34 VAR,0.47,F-101
Taubman Centers Commercial Mortgage Trust,0.14,F-101
Taurus 2018-1 IT SRL,0.05,F-101
Techem Verwaltungsgesellschaft 675 mbH,0.08,F-101
Techem Verwaltungsgesellschaft 675 mbH,0.09,F-101
"Tempur Sealy International, Inc.",0.16,F-101
TotalEnergies SE,0.24,F-101
Tricon American Homes Trust,0.49,F-101
Tricon American Homes Trust,0.18,F-101
Trimaran Cavu 2021-1 Ltd.,0.15,F-101
Trinitas VI Ltd.,0.12,F-101
Trinitas VI Ltd.,0.11,F-101
Trivium Packaging Finance BV,0.12,F-101
"Tyler Technologies, Inc. (Convertible)",0.13,F-101
U.S. Treasury Bill,2.14,F-101
U.S. Treasury Bill,0.17,F-101
UBS AG,0.18,F-101
UPC Holding BV,0.26,F-101
US 10YR NOTE (CBT)DEC23 XCBT 20231219,0,F-101
US 10YR ULTRA FUT DEC23 XCBT 20231219,0.05,F-101
US 2YR NOTE (CBT) DEC23 XCBT 20231229,0,F-101
US 5YR NOTE (CBT) DEC23 XCBT 20231229,-0.06,F-101
US ULTRA BOND CBT DEC23 XCBT 20231219,0,F-101
"Uber Technologies, Inc. (Convertible)",0.18,F-101
"Univision Communications, Inc.",0.15,F-101
Upjohn Finance BV,0.39,F-101
VCAT LLC,0.24,F-101
VMC Finance 2021-HT1 LLC,0.33,F-101
Velocity Commercial Capital Trust,0.19,F-101
Vermilion Bond Trust Class C,0.32,F-101
Vibrant XII Ltd.,0.12,F-101
Virgin Media Secured Finance PLC,0.3,F-101
Vistra Operations Co. LLC,0.26,F-101
Volkswagen International Finance NV,0.3,F-101
Vonovia SE,0.32,F-101
Vontier Corp.,0.22,F-101
WFRBS Commercial Mortgage Trust,0.05,F-101
"Warnermedia Holdings, Inc.",0.33,F-101
Wellfleet CLO 2022-1 Ltd.,0.19,F-101
Wells Fargo Alternative Loan Trust,0.03,F-101
Wells Fargo Commercial Mortgage Trust,0.1,F-101
Westpac Banking Corp.,0.49,F-101
Wintershall Dea Finance BV,0.28,F-101
AASET_18-2A A 144A,0.3,F-102
ACHV_23-3PL B 144A,0.04,F-102
AH4R_15-SFR2 E 144A,0.18,F-102
AIB GROUP PLC 144A,0.18,F-102
AJAXM_20-B A1 144A,0.2,F-102
AJAXM_21-A A2 144A,0.1,F-102
ALLEG_19-2A A1A 144A,0.39,F-102
AMERICAN INTERNATIONAL GROUP INC,0.03,F-102
APPLE INC,0.26,F-102
AQFIT_19-A B 144A,0.12,F-102
ARMT_05-2A 2A1,0.01,F-102
ASHTEAD CAPITAL INC 144A,0.32,F-102
AT&T INC,0.07,F-102
AT&T INC,0.18,F-102
AVIATION CAPITAL GROUP LLC 144A,0.25,F-102
BABS_21-RM1 A 144A,0.31,F-102
BABS_21-RM2 A 144A,0.34,F-102
BANCO DE CREDITO E INVERSIONES SA MTN 144A,0.33,F-102
BANCO SANTANDER SA,0.23,F-102
BANK HAPOALIM BM,0.32,F-102
BANK OF AMERICA CORP,0.53,F-102
BANK OF AMERICA CORP MTN,0.52,F-102
BANK OF IRELAND GROUP PLC 144A,0.22,F-102
BANK OF MONTREAL,0.23,F-102
BANK_19-BN21 XA,0.1,F-102
BANK_20-BN30 MCDF,0.4,F-102
BANQUE OUEST AFRICAINE DE DEVELOPP 144A,0.04,F-102
BANQUE OUEST AFRICAINE DE DEVELOPP 144A,0.18,F-102
BAT CAPITAL CORP,0.3,F-102
BBCMS_22-C18 XA,0.12,F-102
BBIRD_16-1A B 144A,0.09,F-102
BBIRD_21-1A A 144A,0.19,F-102
BCM_98-C M1,0.2,F-102
BMARK_20-IG2 XA 144A,0.13,F-102
BMARK_2020-B18 AGNE 144A,0.33,F-102
BNP PARIBAS SA 144A,0.26,F-102
BOAA_06-6 CB1,0.01,F-102
BOAA_06-7 A6,0.02,F-102
BOEING CO/THE,0.25,F-102
BP CAPITAL MARKETS PLC,0.11,F-102
BPCE SA MTN 144A,0.49,F-102
BPR_22-SSP A 144A,0.57,F-102
BRAVO_20-RPL2 A1 144A,0.24,F-102
BSARM 2003-9 3A3,0.06,F-102
BX_17-CQHP E 144A,0.14,F-102
BX_23-VLT2 A 144A,0.37,F-102
CAIXABANK SA 144A,0.25,F-102
CAPITAL ONE FINANCIAL CORPORATION,0.26,F-102
CELANESE US HOLDINGS LLC,0.39,F-102
CENTENE CORPORATION,0.42,F-102
CFLX_07-1 2A8,0.04,F-102
CFMT_18-RM2 C 144A,0.35,F-102
CFMT_20-AB1 A 144A,0.39,F-102
CFMT_21-HB5 M3 144A,0.63,F-102
CFMT_21-HB6 M3 144A,0.63,F-102
CFMT_22-HB8 M2 144A,0.44,F-102
CFMT_22-HB9 M3 144A,0.26,F-102
CGCC_14-FL2 A 144A,0.09,F-102
CGCMT_15-GC33 XA,0.01,F-102
CGCMT_20-555 G 144A,0.13,F-102
CHARLES SCHWAB CORPORATION (THE),0.24,F-102
CHARTER COMMUNICATIONS OPERATING L,0.34,F-102
CHICAGO ILL O HARE INTL ARPT REV,0.05,F-102
CITIGROUP INC,0.19,F-102
CLGIX_21-1A A2 144A,0.34,F-102
CLGIX_22-1CAN A2 144A,0.43,F-102
CMHAT_19-MH1 A 144A,0.18,F-102
COLT_21-RPL1 A1 144A,0.19,F-102
COMM_19-GC44 180B 144A,0.23,F-102
CONCENTRIX CORP,0.2,F-102
CONCENTRIX CORP,0.23,F-102
CONN_22-A B 144A,0.48,F-102
CONN_23-A B 144A,0.07,F-102
CSMC_20-TMIC A 144A,0.95,F-102
CSMC_21-WEHO A 144A,0.46,F-102
CSWF_21-SOP2 C 144A,0.4,F-102
CWALT_07-OA7 A1A,0.01,F-102
DERIV CNY BALANCE WITH R93535 LUK,-0.03,F-102
DERIV USD BALANCE WITH R93535 CME,0.38,F-102
DERIV USD BALANCE WITH R93535 CME,-0.21,F-102
DERIV USD BALANCE WITH R93535 ICE,-0.2,F-102
DERIV USD BALANCE WITH R93535 ICE,-0.14,F-102
DERIV USD BALANCE WITH R93538 GS,0.52,F-102
DEUTSCHE BANK AG,0.33,F-102
DICKS SPORTING GOODS INC.,0.25,F-102
DOMINICAN REPUBLIC (GOVERNMENT) 144A,0.36,F-102
DOMINICAN REPUBLIC (GOVERNMENT) 144A,0.45,F-102
DOMINICAN REPUBLIC INTERNATIONAL B 144A,0.09,F-102
DROP_21-FL A 144A,0.59,F-102
DROT_19-1A C 144A,0.05,F-102
DUKE UNIVERSITY,0.18,F-102
E-MAC_NL04-I A RegS,0.05,F-102
ELFI_22-A A 144A,0.24,F-102
ENEL FINANCE AMERICA LLC 144A,0.25,F-102
ENTERPRISE PRODUCTS OPERATING LLC,0.26,F-102
ENTERPRISE PRODUCTS OPERATING LLC,0.05,F-102
ENTERPRISE PRODUCTS OPERATING LLC,0.04,F-102
ESAIL_07-NL2X M RegS,0.13,F-102
ETD EUR MARGIN BALANCE,0.01,F-102
ETD USD MARGIN BALANCE,0.7,F-102
EUR CASH(Alpha Committed),0.02,F-102
EVERSOURCE ENERGY,0.25,F-102
EXPORT-IMPORT BANK OF INDIA 144A,0.08,F-102
EXPORT-IMPORT BANK OF INDIA MTN 144A,0.1,F-102
EXTRA SPACE STORAGE LP,0.25,F-102
FALCON_19-1 A 144A,0.23,F-102
FELLS POINT FUNDING TRUST 144A,0.37,F-102
FGOLD 30YR,0.01,F-102
FHLMC 30YR UMBS MIRROR,0.05,F-102
FHLMC 30YR UMBS MIRROR,0.06,F-102
FHLMC GOLD 30YR,0.02,F-102
FHLMC GOLD 30YR,0.02,F-102
FHLMC GOLD 30YR,0.01,F-102
FHLMC GOLD 30YR,0.01,F-102
FHLMC GOLD 30YR,0.05,F-102
FHLMC GOLD 30YR GIANT,0.04,F-102
FHLMC MBS 30YR-JUMBO-CONFO,0.02,F-102
FHLMC MBS 30YR-JUMBO-CONFO,0.01,F-102
FHLMC MBS 30YR-JUMBO-CONFO,0.02,F-102
FHMS_21-1520 X3,0.15,F-102
FHMS_21-K125 X3,0.25,F-102
FHMS_21-K1522 X3,0.2,F-102
FHMS_22-152 X3,0.38,F-102
FHMS_22-K137 X3,0.23,F-102
FHMS_22-K138 X3,0.18,F-102
FHMS_22-K144 X3,0.4,F-102
FHMS_22-K146 X3,0.27,F-102
FHMS_22-K147 X3,0.35,F-102
FHMS_22-K148 X3,0.25,F-102
FHMS_K-126 X3,0.46,F-102
FHMS_K-1516 X3,0.17,F-102
FHMS_K070 X1,0.05,F-102
FHMS_K114 X3,0.14,F-102
FHMS_K119 X3,0.44,F-102
FHMS_K122 X3,0.1,F-102
FIFTH THIRD BANCORP,0.07,F-102
FMMSR_22-GT2 A 144A,0.47,F-102
FNMA 30YR,0.01,F-102
FNMA 30YR,0.02,F-102
FNMA 30YR,0.02,F-102
FNMA 30YR,0.11,F-102
FNMA 30YR,0.01,F-102
FNMA 30YR,0.03,F-102
FNMA 30YR,0.07,F-102
FNMA 30YR,0.01,F-102
FNMA 30YR,0.04,F-102
FNMA 30YR,0.03,F-102
FNMA 30YR,0.08,F-102
FNMA 30YR,0.03,F-102
FNMA 30YR,0.07,F-102
FNMA 30YR,0.01,F-102
FNMA 30YR,0.01,F-102
FNMA 30YR,0.05,F-102
