Portfolio_Name,As_of_Date,Fund_ID,Fund,Benchmark,Fund_Return,Benchmark_Return
Global Real Estate Portfolio,2020-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11848,9970
Global Real Estate Portfolio,2020-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12256,10402
Global Real Estate Portfolio,2020-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12650,10776
Global Real Estate Portfolio,2020-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12339,10460
Global Real Estate Portfolio,2020-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12006,10416
Global Real Estate Portfolio,2020-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11704,10129
Global Real Estate Portfolio,2020-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11677,10388
Global Real Estate Portfolio,2020-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10907,9539
Global Real Estate Portfolio,2020-02-29,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14121,12805
Global Real Estate Portfolio,2020-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,15390,13970
Global Real Estate Portfolio,2019-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,15261,14200
Global Real Estate Portfolio,2019-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,15186,13921
Global Real Estate Portfolio,2019-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,15374,14000
Global Real Estate Portfolio,2019-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14999,13726
Global Real Estate Portfolio,2019-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14654,13282
Global Real Estate Portfolio,2019-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14385,13360
Global Real Estate Portfolio,2019-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14335,13504
Global Real Estate Portfolio,2019-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14115,13373
Global Real Estate Portfolio,2019-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14156,13621
Global Real Estate Portfolio,2019-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,14345,13752
Global Real Estate Portfolio,2019-02-28,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13858,13360
Global Real Estate Portfolio,2019-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13879,13347
Global Real Estate Portfolio,2018-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12518,11990
Global Real Estate Portfolio,2018-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13256,12872
Global Real Estate Portfolio,2018-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12781,12420
Global Real Estate Portfolio,2018-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13274,13003
Global Real Estate Portfolio,2018-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13553,13313
Global Real Estate Portfolio,2018-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13426,13194
Global Real Estate Portfolio,2018-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13313,13056
Global Real Estate Portfolio,2018-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13126,12822
Global Real Estate Portfolio,2018-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12913,12682
Global Real Estate Portfolio,2018-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12665,12460
Global Real Estate Portfolio,2018-02-28,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12376,12156
Global Real Estate Portfolio,2018-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13265,13056
Global Real Estate Portfolio,2017-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13266,13009
Global Real Estate Portfolio,2017-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13097,12784
Global Real Estate Portfolio,2017-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12743,12332
Global Real Estate Portfolio,2017-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12805,12431
Global Real Estate Portfolio,2017-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12848,12398
Global Real Estate Portfolio,2017-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12831,12464
Global Real Estate Portfolio,2017-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12602,12266
Global Real Estate Portfolio,2017-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12509,12156
Global Real Estate Portfolio,2017-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12402,12134
Global Real Estate Portfolio,2017-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12269,12057
Global Real Estate Portfolio,2017-02-28,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12462,12244
Global Real Estate Portfolio,2017-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12086,11914
Global Real Estate Portfolio,2016-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12021,11848
Global Real Estate Portfolio,2016-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11680,11527
Global Real Estate Portfolio,2016-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12008,11707
Global Real Estate Portfolio,2016-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12733,12406
Global Real Estate Portfolio,2016-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12861,12533
Global Real Estate Portfolio,2016-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,13206,12830
Global Real Estate Portfolio,2016-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12576,12226
Global Real Estate Portfolio,2016-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12137,11887
Global Real Estate Portfolio,2016-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12143,11919
Global Real Estate Portfolio,2016-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12155,12003
Global Real Estate Portfolio,2016-02-29,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11103,10933
Global Real Estate Portfolio,2016-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11056,10923
Global Real Estate Portfolio,2015-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11551,11452
Global Real Estate Portfolio,2015-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11457,11415
Global Real Estate Portfolio,2015-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11718,11758
Global Real Estate Portfolio,2015-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11087,11093
Global Real Estate Portfolio,2015-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10962,10957
Global Real Estate Portfolio,2015-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11656,11685
Global Real Estate Portfolio,2015-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11270,11332
Global Real Estate Portfolio,2015-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11739,11789
Global Real Estate Portfolio,2015-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11915,11924
Global Real Estate Portfolio,2015-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12106,12039
Global Real Estate Portfolio,2015-02-28,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12140,12039
Global Real Estate Portfolio,2015-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,12215,12028
Global Real Estate Portfolio,2014-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11643,11550
Global Real Estate Portfolio,2014-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11600,11525
Global Real Estate Portfolio,2014-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11506,11525
Global Real Estate Portfolio,2014-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10792,10801
Global Real Estate Portfolio,2014-08-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11513,11464
Global Real Estate Portfolio,2014-07-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11346,11301
Global Real Estate Portfolio,2014-06-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11311,11250
Global Real Estate Portfolio,2014-05-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,11169,11117
Global Real Estate Portfolio,2014-04-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10828,10740
Global Real Estate Portfolio,2014-03-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10510,10424
Global Real Estate Portfolio,2014-02-28,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10505,10403
Global Real Estate Portfolio,2014-01-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10094,9955
Global Real Estate Portfolio,2013-12-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10123,10108
Global Real Estate Portfolio,2013-11-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10111,10080
Global Real Estate Portfolio,2013-10-31,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10476,10360
Global Real Estate Portfolio,2013-09-30,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10189,10150
Global Real Estate Portfolio,2013-09-13,F-101,DBREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index,10000,10000
Core Plus Fixed Income Portfolio,2023-09-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,104883,93320
Core Plus Fixed Income Portfolio,2023-08-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,107285,95753
Core Plus Fixed Income Portfolio,2023-07-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,107966,96369
Core Plus Fixed Income Portfolio,2023-06-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,107622,96436
Core Plus Fixed Income Portfolio,2023-05-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,107735,96781
Core Plus Fixed Income Portfolio,2023-04-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,109087,97847
Core Plus Fixed Income Portfolio,2023-03-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,108316,97257
Core Plus Fixed Income Portfolio,2023-02-28,F-102,DBFIX,Bloomberg U.S. Aggregate Index,105993,94848
Core Plus Fixed Income Portfolio,2023-01-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,108391,97365
Core Plus Fixed Income Portfolio,2022-12-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,104508,94459
Core Plus Fixed Income Portfolio,2022-11-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,104782,94887
Core Plus Fixed Income Portfolio,2022-10-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101032,91522
Core Plus Fixed Income Portfolio,2022-09-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,102798,92723
Core Plus Fixed Income Portfolio,2022-08-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,107926,96910
Core Plus Fixed Income Portfolio,2022-07-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,110474,99728
Core Plus Fixed Income Portfolio,2022-06-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,107933,97349
Core Plus Fixed Income Portfolio,2022-05-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,109930,98901
Core Plus Fixed Income Portfolio,2022-04-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,109993,98267
Core Plus Fixed Income Portfolio,2022-03-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,114461,102143
Core Plus Fixed Income Portfolio,2022-02-28,F-102,DBFIX,Bloomberg U.S. Aggregate Index,117434,105062
Core Plus Fixed Income Portfolio,2022-01-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,119252,106247
Core Plus Fixed Income Portfolio,2021-12-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,121708,108587
Core Plus Fixed Income Portfolio,2021-11-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,121714,108865
Core Plus Fixed Income Portfolio,2021-10-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,121793,108544
Core Plus Fixed Income Portfolio,2021-09-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,121767,108574
Core Plus Fixed Income Portfolio,2021-08-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,122691,109522
Core Plus Fixed Income Portfolio,2021-07-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,122771,109731
Core Plus Fixed Income Portfolio,2021-06-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,121483,108518
Core Plus Fixed Income Portfolio,2021-05-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,120512,107761
Core Plus Fixed Income Portfolio,2021-04-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,119962,107410
Core Plus Fixed Income Portfolio,2021-03-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,118812,106568
Core Plus Fixed Income Portfolio,2021-02-28,F-102,DBFIX,Bloomberg U.S. Aggregate Index,120169,107915
Core Plus Fixed Income Portfolio,2021-01-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,121733,109497
Core Plus Fixed Income Portfolio,2020-12-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,122253,110287
Core Plus Fixed Income Portfolio,2020-11-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,121380,110136
Core Plus Fixed Income Portfolio,2020-10-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,119461,109065
Core Plus Fixed Income Portfolio,2020-09-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,119839,109555
Core Plus Fixed Income Portfolio,2020-08-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,119715,109615
Core Plus Fixed Income Portfolio,2020-07-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,120293,110507
Core Plus Fixed Income Portfolio,2020-06-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,117948,108880
Core Plus Fixed Income Portfolio,2020-05-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,115607,108199
Core Plus Fixed Income Portfolio,2020-04-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,113870,107697
Core Plus Fixed Income Portfolio,2020-03-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,110831,105816
Core Plus Fixed Income Portfolio,2020-02-29,F-102,DBFIX,Bloomberg U.S. Aggregate Index,116926,106443
Core Plus Fixed Income Portfolio,2020-01-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,115368,104561
Core Plus Fixed Income Portfolio,2019-12-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,113389,102587
Core Plus Fixed Income Portfolio,2019-11-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,113181,102658
Core Plus Fixed Income Portfolio,2019-10-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,113229,102710
Core Plus Fixed Income Portfolio,2019-09-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,112766,102402
Core Plus Fixed Income Portfolio,2019-08-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,113376,102950
Core Plus Fixed Income Portfolio,2019-07-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,110657,100350
Core Plus Fixed Income Portfolio,2019-06-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,110271,100130
Core Plus Fixed Income Portfolio,2019-05-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,108445,98888
Core Plus Fixed Income Portfolio,2019-04-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,106810,97163
Core Plus Fixed Income Portfolio,2019-03-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,106328,97138
Core Plus Fixed Income Portfolio,2019-02-28,F-102,DBFIX,Bloomberg U.S. Aggregate Index,104326,95308
Core Plus Fixed Income Portfolio,2019-01-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,104230,95363
Core Plus Fixed Income Portfolio,2018-12-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,102418,94361
Core Plus Fixed Income Portfolio,2018-11-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101088,92659
Core Plus Fixed Income Portfolio,2018-10-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,100804,92109
Core Plus Fixed Income Portfolio,2018-09-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101751,92843
Core Plus Fixed Income Portfolio,2018-08-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,102220,93445
Core Plus Fixed Income Portfolio,2018-07-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101845,92847
Core Plus Fixed Income Portfolio,2018-06-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101470,92825
Core Plus Fixed Income Portfolio,2018-05-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101656,92939
Core Plus Fixed Income Portfolio,2018-04-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101190,92281
Core Plus Fixed Income Portfolio,2018-03-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101842,92972
Core Plus Fixed Income Portfolio,2018-02-28,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101286,92380
Core Plus Fixed Income Portfolio,2018-01-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,102305,93264
Core Plus Fixed Income Portfolio,2017-12-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,102861,94351
Core Plus Fixed Income Portfolio,2017-11-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,102215,93920
Core Plus Fixed Income Portfolio,2017-10-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,102307,94040
Core Plus Fixed Income Portfolio,2017-09-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,102123,93986
Core Plus Fixed Income Portfolio,2017-08-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,102397,94436
Core Plus Fixed Income Portfolio,2017-07-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,101483,93596
Core Plus Fixed Income Portfolio,2017-06-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,100683,93195
Core Plus Fixed Income Portfolio,2017-05-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,100229,93289
Core Plus Fixed Income Portfolio,2017-04-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,99232,92576
Core Plus Fixed Income Portfolio,2017-03-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,98168,91867
Core Plus Fixed Income Portfolio,2017-02-28,F-102,DBFIX,Bloomberg U.S. Aggregate Index,98078,91916
Core Plus Fixed Income Portfolio,2017-01-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,97358,91302
Core Plus Fixed Income Portfolio,2016-12-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,96908,91123
Core Plus Fixed Income Portfolio,2016-11-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,96475,90995
Core Plus Fixed Income Portfolio,2016-10-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,98707,93199
Core Plus Fixed Income Portfolio,2016-09-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,99352,93918
Core Plus Fixed Income Portfolio,2016-08-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,96253,93973
Core Plus Fixed Income Portfolio,2016-07-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,96076,94080
Core Plus Fixed Income Portfolio,2016-06-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,94775,93489
Core Plus Fixed Income Portfolio,2016-05-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,93282,91839
Core Plus Fixed Income Portfolio,2016-04-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,93282,91816
Core Plus Fixed Income Portfolio,2016-03-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,92251,91465
Core Plus Fixed Income Portfolio,2016-02-29,F-102,DBFIX,Bloomberg U.S. Aggregate Index,86850,90633
Core Plus Fixed Income Portfolio,2016-01-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,86589,89995
Core Plus Fixed Income Portfolio,2015-12-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,86502,88773
Core Plus Fixed Income Portfolio,2015-11-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,87032,89061
Core Plus Fixed Income Portfolio,2015-10-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,87204,89297
Core Plus Fixed Income Portfolio,2015-09-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,86542,89282
Core Plus Fixed Income Portfolio,2015-08-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,86627,88682
Core Plus Fixed Income Portfolio,2015-07-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,87052,88810
Core Plus Fixed Income Portfolio,2015-06-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,86562,88196
Core Plus Fixed Income Portfolio,2015-05-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,87659,89169
Core Plus Fixed Income Portfolio,2015-04-30,F-102,DBFIX,Bloomberg U.S. Aggregate Index,87997,89384
Core Plus Fixed Income Portfolio,2015-03-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,88020,89706
Core Plus Fixed Income Portfolio,2015-02-28,F-102,DBFIX,Bloomberg U.S. Aggregate Index,87936,89291
Core Plus Fixed Income Portfolio,2015-01-31,F-102,DBFIX,Bloomberg U.S. Aggregate Index,88104,90139
